# -- start of yaml config --
# ---
# app:
#   name: strand-cam-pylon
#   version: 0.11.1
#   git_hash: 313a43e8b8154508d78f5b914b2fc569781a68e7
# camera:
#   vendor: Basler
#   model: Basler-22117938
#   serial: "22117938"
#   width: 1280
#   height: 1024
# created_at: "2022-05-06T12:22:40.535831758+02:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.01
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 30
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.3
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 512
#       radius: 512
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
32616,196103,425.0,296.1,-1.460,4041,0,0,16000
66576,196104,424.4,297.5,-1.352,4057,0,0,16000
99380,196105,424.0,299.0,-1.371,4033,0,0,16000
132734,196106,423.6,301.0,-1.348,4075,0,0,16000
166035,196107,423.0,303.3,-1.377,4034,0,0,16000
199306,196108,422.6,305.3,-1.380,3994,0,0,16000
232661,196109,422.5,308.0,-1.362,4074,0,0,16000
266372,196110,421.7,310.4,-1.350,4027,0,0,16000
299317,196111,421.1,312.9,-1.295,4041,0,0,16000
332707,196112,420.0,316.2,-1.180,3845,0,0,16000
366045,196113,418.9,318.7,-1.202,3943,0,0,16000
399265,196114,417.8,321.8,-1.190,4065,0,0,16000
432660,196115,416.3,324.8,-1.189,3976,0,0,16000
466109,196116,415.4,327.4,-1.152,3955,0,0,16000
499312,196117,413.6,330.2,-1.081,3969,0,0,16000
532689,196118,412.0,333.2,-0.990,3916,0,0,16000
566115,196119,409.1,335.5,-0.784,3962,0,0,16000
599270,196120,406.6,337.7,-0.649,3831,0,0,16000
632629,196121,404.1,338.9,-0.663,3998,0,0,16000
665972,196122,401.4,340.8,-0.635,3811,0,0,16000
699284,196123,399.2,342.6,-0.621,3876,0,0,16000
732694,196124,397.4,344.0,-0.734,3884,0,0,16000
766032,196125,396.5,345.6,-0.913,3838,0,0,16000
799291,196126,396.2,347.2,-1.078,3877,0,0,16000
832591,196127,396.7,348.6,-1.292,3739,0,0,16000
866130,196128,397.3,350.3,-1.482,3757,0,0,16000
899308,196129,398.6,351.7,1.402,3769,0,0,16000
932674,196130,399.7,353.5,1.412,3836,0,0,16000
966040,196131,400.5,356.0,1.383,3923,0,0,16000
999260,196132,401.5,358.3,1.350,3905,0,0,16000
1032618,196133,402.5,361.3,1.378,3812,0,0,16000
1066027,196134,403.0,364.0,1.402,3826,0,0,16000
1099300,196135,403.6,367.5,1.430,3810,0,0,16000
1132676,196136,403.7,370.7,1.414,3837,0,0,16000
1166077,196137,404.7,374.3,1.488,3844,0,0,16000
