# -- start of yaml config --
# ---
# app:
#   name: strand-cam-pylon
#   version: 0.11.1
#   git_hash: 313a43e8b8154508d78f5b914b2fc569781a68e7
# camera:
#   vendor: Basler
#   model: Basler-22117938
#   serial: "22117938"
#   width: 1280
#   height: 1024
# created_at: "2022-05-06T10:55:10.489690743+02:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.01
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 30
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.3
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 512
#       radius: 512
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
3199833,38695,492.6,636.9,0.469,5250,0,0,16000
3233122,38696,495.9,639.0,0.437,5312,0,0,16000
3266451,38697,498.8,640.2,0.403,5387,0,0,16000
3299756,38698,501.7,641.2,0.400,5363,0,0,16000
3332962,38699,505.0,642.9,0.329,5247,0,0,16000
3366463,38700,507.9,643.7,0.286,5340,0,0,16000
3399812,38701,510.9,644.5,0.290,5444,0,0,16000
3433064,38702,514.7,646.0,0.238,5342,0,0,16000
3466454,38703,518.0,646.8,0.231,5318,0,0,16000
3499788,38704,521.0,647.7,0.190,5384,0,0,16000
3533076,38705,524.4,648.3,0.188,5294,0,0,16000
3566392,38706,527.8,648.6,0.122,5532,0,0,16000
3599809,38707,530.5,648.9,0.089,5420,0,0,16000
3633149,38708,534.1,649.5,0.070,5490,0,0,16000
3666408,38709,536.8,649.7,0.060,5425,0,0,16000
3699738,38710,539.0,649.7,0.044,5433,0,0,16000
3733371,38711,542.4,649.7,0.017,5369,0,0,16000
3766587,38712,545.2,649.6,-0.006,5491,0,0,16000
3799782,38713,548.3,649.4,-0.052,5640,0,0,16000
3833106,38714,551.4,649.4,-0.078,5548,0,0,16000
3866474,38715,554.0,648.9,-0.079,5461,0,0,16000
3899773,38716,557.3,648.1,-0.100,5557,0,0,16000
3933132,38717,560.2,647.8,-0.110,5598,0,0,16000
3966436,38718,563.2,647.3,-0.120,5674,0,0,16000
3999811,38719,566.5,646.8,-0.178,5517,0,0,16000
4033109,38720,569.3,646.2,-0.138,5560,0,0,16000
4066467,38721,572.3,645.5,-0.164,5626,0,0,16000
4099823,38722,576.1,644.9,-0.197,5705,0,0,16000
4133105,38723,579.2,644.4,-0.161,5817,0,0,16000
4166455,38724,582.4,643.8,-0.228,5734,0,0,16000
4199851,38725,585.9,642.8,-0.237,5629,0,0,16000
4233114,38726,589.8,642.2,-0.216,5651,0,0,16000
4266448,38727,592.7,641.5,-0.207,5620,0,0,16000
4299778,38728,596.1,640.9,-0.229,5860,0,0,16000
4333129,38729,599.5,640.5,-0.231,5806,0,0,16000
4366479,38730,602.5,639.9,-0.248,5866,0,0,16000
4399754,38731,606.0,639.0,-0.277,5965,0,0,16000
4433122,38732,609.3,638.4,-0.266,5800,0,0,16000
4466497,38733,612.7,637.6,-0.254,5891,0,0,16000
4499774,38734,615.9,636.9,-0.268,5820,0,0,16000
4533026,38735,619.9,636.2,-0.260,5938,0,0,16000
4566465,38736,623.3,635.1,-0.257,6087,0,0,16000
4599779,38737,626.6,634.3,-0.282,5810,0,0,16000
4633092,38738,630.4,633.2,-0.275,5921,0,0,16000
4666415,38739,634.3,632.1,-0.267,5893,0,0,16000
4699796,38740,637.8,631.0,-0.283,6027,0,0,16000
4733103,38741,641.6,629.8,-0.290,6162,0,0,16000
4766476,38742,645.4,628.5,-0.307,6177,0,0,16000
4799752,38743,649.8,627.2,-0.311,5918,0,0,16000
4833060,38744,653.7,625.6,-0.313,6084,0,0,16000
4866413,38745,657.2,624.6,-0.327,6019,0,0,16000
4899733,38746,661.0,622.9,-0.319,6012,0,0,16000
4933110,38747,664.3,621.7,-0.353,6179,0,0,16000
4966391,38748,667.3,620.0,-0.392,6163,0,0,16000
4999743,38749,669.8,618.6,-0.419,6012,0,0,16000
5033034,38750,673.0,616.5,-0.427,6211,0,0,16000
5066429,38751,676.3,614.6,-0.459,6039,0,0,16000
5099736,38752,678.8,612.8,-0.483,6151,0,0,16000
5133075,38753,682.1,610.7,-0.518,6270,0,0,16000
5166447,38754,685.2,609.0,-0.504,6423,0,0,16000
5199818,38755,688.2,607.0,-0.488,6435,0,0,16000
5233062,38756,690.3,605.7,-0.501,6275,0,0,16000
5266454,38757,693.4,603.8,-0.541,6384,0,0,16000
5299758,38758,696.0,602.0,-0.527,6356,0,0,16000
5333103,38759,698.7,600.1,-0.550,6467,0,0,16000
5366396,38760,702.1,598.0,-0.559,6346,0,0,16000
5399713,38761,705.2,596.0,-0.538,6401,0,0,16000
5433053,38762,708.0,594.3,-0.550,6553,0,0,16000
5466372,38763,711.2,592.5,-0.546,6448,0,0,16000
5499737,38764,714.8,590.3,-0.570,6274,0,0,16000
5533207,38765,717.6,588.6,-0.589,6457,0,0,16000
5566409,38766,720.3,586.7,-0.620,6378,0,0,16000
5599858,38767,723.0,584.5,-0.636,6541,0,0,16000
5633587,38768,725.7,582.3,-0.628,6462,0,0,16000
5666685,38769,727.6,580.4,-0.683,6539,0,0,16000
5699825,38770,729.9,577.3,-0.768,6628,0,0,16000
5733054,38771,732.0,574.6,-0.835,6668,0,0,16000
5766404,38772,733.4,572.0,-0.893,6549,0,0,16000
5799695,38773,735.4,568.7,-0.927,6608,0,0,16000
5833059,38774,737.7,565.4,-0.934,6494,0,0,16000
5866726,38775,739.6,562.4,-0.943,6628,0,0,16000
5899773,38776,741.3,559.6,-0.958,6760,0,0,16000
5933077,38777,743.4,556.4,-0.992,6718,0,0,16000
5966534,38778,744.9,553.5,-1.034,6864,0,0,16000
5999650,38779,746.4,551.0,-1.027,6822,0,0,16000
6033293,38780,748.1,548.0,-1.033,6895,0,0,16000
6066460,38781,750.1,544.7,-1.059,7045,0,0,16000
6099706,38782,751.7,541.9,-1.070,6748,0,0,16000
6133338,38783,753.2,538.9,-1.063,6826,0,0,16000
6166430,38784,754.9,535.2,-1.105,6837,0,0,16000
6199850,38785,756.7,531.7,-1.108,6919,0,0,16000
6233087,38786,758.3,528.2,-1.051,7032,0,0,16000
6266422,38787,760.0,525.3,-1.060,7111,0,0,16000
6299764,38788,762.0,522.1,-1.052,6898,0,0,16000
6333045,38789,763.3,519.8,-1.076,7043,0,0,16000
6366503,38790,764.8,517.4,-1.079,7146,0,0,16000
6399742,38791,766.4,515.1,-1.043,6944,0,0,16000
6433128,38792,767.4,512.8,-1.008,7018,0,0,16000
6466495,38793,769.0,510.3,-1.013,7296,0,0,16000
6499775,38794,770.3,508.7,-1.011,7093,0,0,16000
6533183,38795,772.1,506.5,-1.000,7130,0,0,16000
6566550,38796,773.5,504.3,-1.008,7253,0,0,16000
6599785,38797,775.4,501.4,-0.993,7099,0,0,16000
6633138,38798,777.0,498.7,-0.970,7082,0,0,16000
6666454,38799,778.4,496.2,-1.001,7158,0,0,16000
6699691,38800,780.3,493.3,-1.034,7015,0,0,16000
6733176,38801,782.1,490.5,-1.030,7111,0,0,16000
6766418,38802,783.6,487.7,-1.021,7107,0,0,16000
6799737,38803,785.3,485.2,-1.021,7232,0,0,16000
6833134,38804,787.0,482.2,-1.016,7270,0,0,16000
6866508,38805,787.9,480.8,-1.061,7256,0,0,16000
6899798,38806,788.7,479.6,-1.058,7102,0,0,16000
6933414,38807,789.7,478.0,-1.065,7073,0,0,16000
6967001,38808,790.6,476.3,-1.098,7254,0,0,16000
6999874,38809,791.6,475.4,-1.059,6996,0,0,16000
7033093,38810,792.6,474.4,-1.052,7181,0,0,16000
7066497,38811,793.0,474.3,-1.040,7287,0,0,16000
7099843,38812,793.2,474.4,-1.035,7280,0,0,16000
7133062,38813,793.2,474.5,-1.041,7315,0,0,16000
7166522,38814,793.1,474.4,-1.055,7211,0,0,16000
7199886,38815,793.2,474.2,-1.059,7282,0,0,16000
7233370,38816,793.1,474.4,-1.065,7217,0,0,16000
