# -- start of yaml config --
# ---
# app:
#   name: strand-cam-pylon
#   version: 0.11.1
#   git_hash: 313a43e8b8154508d78f5b914b2fc569781a68e7
# camera:
#   vendor: Basler
#   model: Basler-22117938
#   serial: "22117938"
#   width: 1280
#   height: 1024
# created_at: "2022-05-06T14:56:00.511618585+02:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.01
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 30
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.3
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 512
#       radius: 512
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
28649,472105,375.7,530.0,-0.574,5050,0,0,16000
62058,472106,375.7,530.1,-0.571,5044,0,0,16000
95196,472107,375.6,530.1,-0.563,4911,0,0,16000
128605,472108,375.6,530.1,-0.566,5044,0,0,16000
161970,472109,375.6,530.0,-0.553,5135,0,0,16000
195361,472110,375.6,530.0,-0.562,5026,0,0,16000
228916,472111,375.6,530.1,-0.571,5103,0,0,16000
261975,472112,375.5,530.1,-0.563,5024,0,0,16000
295342,472113,375.5,530.0,-0.573,5071,0,0,16000
328644,472114,375.4,530.1,-0.575,4980,0,0,16000
362231,472115,375.1,530.2,-0.566,4875,0,0,16000
395315,472116,374.7,530.4,-0.578,5013,0,0,16000
428608,472117,373.3,530.6,-0.562,5057,0,0,16000
461825,472118,370.1,530.8,-0.019,4940,0,0,16000
495265,472119,368.6,528.3,0.109,4958,0,0,16000
528840,472120,365.8,527.0,0.207,4921,0,0,16000
561955,472121,363.3,525.4,0.136,4797,0,0,16000
595270,472122,361.9,524.8,0.115,4563,0,0,16000
628652,472123,360.5,524.4,0.132,4583,0,0,16000
662189,472124,358.4,523.0,0.175,4746,0,0,16000
695385,472125,357.2,522.4,0.131,4693,0,0,16000
728992,472126,355.5,522.4,0.158,4615,0,0,16000
761916,472127,353.3,522.1,0.052,4387,0,0,16000
795158,472128,351.5,522.4,-0.000,4520,0,0,16000
828592,472129,349.2,522.1,-0.000,4546,0,0,16000
861932,472130,345.9,522.7,-0.149,4683,0,0,16000
895483,472131,343.1,523.4,-0.296,4503,0,0,16000
928658,472132,342.7,524.8,-0.382,4434,0,0,16000
962272,472133,341.5,525.6,-0.471,4454,0,0,16000
995295,472134,340.9,528.0,-0.821,4461,0,0,16000
1028647,472135,340.1,529.8,-0.891,4693,0,0,16000
1062015,472136,339.2,530.7,-1.078,4669,0,0,16000
1095212,472137,338.6,533.5,-1.132,4597,0,0,16000
1128656,472138,338.0,534.7,-1.110,4546,0,0,16000
1161942,472139,337.8,534.9,-1.083,4609,0,0,16000
1195392,472140,335.4,536.0,-0.620,4590,0,0,16000
1228713,472141,333.6,536.0,-0.450,4531,0,0,16000
1262027,472142,332.6,536.5,-0.442,4446,0,0,16000
1295194,472143,332.9,536.8,-0.461,4201,0,0,16000
1328577,472144,331.6,537.3,-0.456,4292,0,0,16000
1362030,472145,329.4,538.3,-0.559,4261,0,0,16000
1395284,472146,327.8,539.1,-0.490,4470,0,0,16000
1428670,472147,326.3,537.8,-0.123,4392,0,0,16000
1461999,472148,324.2,537.4,-0.013,4237,0,0,16000
1495375,472149,323.6,537.0,0.009,4238,0,0,16000
1528697,472150,323.7,536.7,0.057,4359,0,0,16000
1562370,472151,323.7,536.6,0.053,4360,0,0,16000
1595291,472152,322.7,536.2,0.060,4263,0,0,16000
1628673,472153,321.3,535.5,0.094,4375,0,0,16000
1661998,472154,320.0,535.6,0.011,4305,0,0,16000
1695329,472155,318.4,536.0,-0.090,4094,0,0,16000
1728702,472156,316.8,537.1,-0.279,4339,0,0,16000
1762456,472157,316.1,538.8,-0.492,4347,0,0,16000
1795315,472158,315.7,540.6,-0.719,4202,0,0,16000
1828597,472159,316.0,541.1,-0.779,4241,0,0,16000
1862165,472160,316.3,540.8,-0.817,4195,0,0,16000
1895252,472161,316.9,540.8,-0.801,4276,0,0,16000
1928804,472162,318.4,539.7,-0.864,4426,0,0,16000
1962055,472163,318.9,538.8,-0.989,4560,0,0,16000
1995182,472164,320.4,538.6,-1.119,4514,0,0,16000
2028698,472165,320.8,537.9,-0.956,4370,0,0,16000
2061987,472166,322.3,537.4,-0.027,4618,0,0,16000
2095435,472167,321.9,535.6,0.323,4369,0,0,16000
