# -- start of yaml config --
# ---
# app:
#   name: strand-cam-pylon
#   version: 0.11.1
#   git_hash: 313a43e8b8154508d78f5b914b2fc569781a68e7
# camera:
#   vendor: Basler
#   model: Basler-22117938
#   serial: "22117938"
#   width: 1280
#   height: 1024
# created_at: "2022-05-05T16:42:50.474094189+02:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.01
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 30
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.3
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 512
#       radius: 512
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
33414,687437,703.0,769.7,0.899,4911,0,0,16000
66429,687438,702.9,770.5,0.971,4727,0,0,16000
99650,687439,702.4,770.7,0.945,4906,0,0,16000
132926,687440,702.4,770.8,0.941,4921,0,0,16000
166697,687441,702.4,771.0,0.952,4948,0,0,16000
201087,687442,702.3,771.1,0.954,4952,0,0,16000
234347,687443,702.3,771.5,0.943,4826,0,0,16000
267684,687444,705.1,779.5,1.044,4327,0,0,16000
301882,687445,721.7,803.3,1.240,4786,0,0,16000
334777,687446,721.0,802.3,1.460,4645,0,0,16000
366679,687447,721.0,800.6,-1.524,4564,0,0,16000
399592,687448,723.1,797.4,-0.954,4624,0,0,16000
432983,687449,729.1,795.0,-0.623,4666,0,0,16000
466616,687450,733.7,792.6,-0.411,4705,0,0,16000
499737,687451,739.6,790.0,-0.285,4716,0,0,16000
535161,687452,745.1,789.4,-0.188,4811,0,0,16000
566298,687453,751.4,788.6,-0.120,4750,0,0,16000
599723,687454,757.5,789.6,-0.112,4758,0,0,16000
635205,687455,763.6,788.7,-0.026,4834,0,0,16000
666423,687456,769.7,788.9,-0.156,4834,0,0,16000
699761,687457,775.2,787.0,-0.109,4667,0,0,16000
733024,687458,779.5,784.9,-0.455,4868,0,0,16000
766377,687459,782.5,781.5,-0.536,4673,0,0,16000
799591,687460,786.4,777.9,-0.695,4790,0,0,16000
832992,687461,789.8,773.9,-0.717,4822,0,0,16000
866258,687462,792.5,769.1,-0.976,4865,0,0,16000
899626,687463,794.5,763.5,-0.990,4906,0,0,16000
932971,687464,797.3,758.0,-1.126,4938,0,0,16000
966278,687465,799.1,752.4,-1.038,5161,0,0,16000
1000676,687466,801.4,746.9,-1.066,5129,0,0,16000
1032960,687467,804.5,741.0,-1.018,4977,0,0,16000
1069720,687468,809.3,735.3,-0.942,4973,0,0,16000
1099876,687469,813.2,730.2,-0.907,5198,0,0,16000
1132882,687470,817.5,724.6,-0.839,5230,0,0,16000
1166318,687471,821.8,720.2,-0.793,5266,0,0,16000
1199716,687472,826.3,715.0,-0.713,5348,0,0,16000
1233022,687473,831.7,711.1,-0.688,5361,0,0,16000
1266271,687474,836.3,706.8,-0.545,5336,0,0,16000
1299661,687475,840.7,704.1,-0.622,5371,0,0,16000
1332982,687476,842.7,703.1,-0.559,5382,0,0,16000
1366289,687477,855.9,693.0,-0.633,4813,0,0,16000
1399682,687478,886.6,662.4,-1.373,4069,0,0,16000
1433011,687479,892.2,649.4,-0.772,4328,0,0,16000
1466202,687480,893.1,645.7,-0.777,5523,0,0,16000
1499570,687481,891.9,646.9,-0.716,5637,0,0,16000
1533070,687482,890.2,647.4,-0.595,5586,0,0,16000
1566347,687483,890.0,647.8,-0.570,5454,0,0,16000
1599826,687484,889.7,647.6,-0.585,5562,0,0,16000
1632952,687485,890.2,647.5,-0.567,5514,0,0,16000
1666333,687486,893.4,644.9,-0.023,5293,0,0,16000
1699817,687487,888.2,643.2,0.312,5689,0,0,16000
1733013,687488,884.7,642.7,0.221,5417,0,0,16000
1766229,687489,884.5,642.8,0.210,5288,0,0,16000
1799785,687490,887.0,643.1,0.465,5501,0,0,16000
1833038,687491,886.2,639.3,1.026,5578,0,0,16000
1866663,687492,885.6,633.3,1.508,5720,0,0,16000
1899655,687493,888.9,630.3,-1.116,5613,0,0,16000
1932966,687494,892.9,626.3,-0.903,5688,0,0,16000
1966307,687495,898.5,622.8,-0.663,5585,0,0,16000
2000844,687496,902.6,618.8,-0.704,5612,0,0,16000
2033024,687497,906.2,613.5,-0.856,5580,0,0,16000
2066313,687498,908.7,608.9,-0.947,5586,0,0,16000
2099632,687499,910.1,602.8,-1.022,5724,0,0,16000
2133212,687500,911.5,597.3,-0.977,5589,0,0,16000
2166320,687501,914.6,593.0,-0.904,5810,0,0,16000
2199615,687502,918.3,587.4,-0.637,5601,0,0,16000
2233188,687503,922.3,584.1,-0.692,5521,0,0,16000
2266341,687504,925.3,580.0,-0.719,5587,0,0,16000
2299654,687505,927.4,574.7,-0.940,5615,0,0,16000
2332997,687506,928.5,569.2,-1.128,5491,0,0,16000
2366317,687507,930.8,563.9,-0.865,5558,0,0,16000
2399854,687508,934.0,559.4,-0.702,5407,0,0,16000
2433001,687509,937.0,557.6,-0.611,5360,0,0,16000
2466309,687510,940.6,554.5,-0.624,5421,0,0,16000
2499554,687511,943.1,549.7,-1.050,5636,0,0,16000
2533662,687512,941.8,547.0,-1.330,5216,0,0,16000
2566336,687513,940.8,541.0,-1.441,5425,0,0,16000
2599820,687514,940.3,536.7,-1.316,5481,0,0,16000
2641923,687515,942.4,532.4,-0.972,5464,0,0,16000
2666384,687516,946.5,528.2,-0.645,5480,0,0,16000
2705161,687517,951.1,526.2,-0.560,5428,0,0,16000
2732917,687518,954.7,522.1,-0.743,5444,0,0,16000
2766309,687519,956.4,517.6,-1.061,5410,0,0,16000
2799598,687520,955.9,513.8,-1.449,5285,0,0,16000
2832989,687521,951.1,510.2,1.266,5485,0,0,16000
2866539,687522,948.5,505.6,1.317,5443,0,0,16000
2899541,687523,946.7,501.7,1.372,5498,0,0,16000
2932919,687524,946.4,497.1,-1.272,5392,0,0,16000
2966423,687525,948.7,492.3,-0.951,5360,0,0,16000
2999557,687526,953.2,489.4,-0.498,5543,0,0,16000
3033002,687527,958.1,485.9,-0.637,5403,0,0,16000
3066222,687528,959.4,481.6,-0.967,5406,0,0,16000
3099640,687529,957.1,477.8,-1.450,5153,0,0,16000
3132979,687530,955.2,472.7,1.418,5364,0,0,16000
3166257,687531,953.4,467.3,1.535,5422,0,0,16000
3200316,687532,953.2,463.3,-1.535,5439,0,0,16000
3232940,687533,953.6,458.1,-1.342,5403,0,0,16000
3266314,687534,956.1,454.8,-0.891,5226,0,0,16000
3299660,687535,960.5,452.9,-0.416,5418,0,0,16000
3332969,687536,964.3,452.4,-0.310,5256,0,0,16000
3366202,687537,968.8,449.9,-0.465,5154,0,0,16000
3399526,687538,972.1,446.7,-0.681,5190,0,0,16000
3432974,687539,974.4,442.5,-1.047,4933,0,0,16000
3466224,687540,973.5,438.0,-1.560,5218,0,0,16000
3499735,687541,971.2,433.0,1.494,5048,0,0,16000
3533036,687542,970.3,428.3,1.414,5266,0,0,16000
3566352,687543,968.8,424.2,1.507,5222,0,0,16000
3599661,687544,967.9,419.7,1.427,5284,0,0,16000
3632962,687545,966.8,415.6,1.519,5190,0,0,16000
3667213,687546,966.4,411.5,1.493,5368,0,0,16000
3699541,687547,965.8,407.3,1.531,5283,0,0,16000
3733440,687548,965.9,405.3,-1.566,5149,0,0,16000
3766218,687549,965.9,401.5,-1.547,5136,0,0,16000
3799721,687550,966.5,398.4,-1.516,5253,0,0,16000
3832992,687551,967.0,396.5,1.570,5224,0,0,16000
3867200,687552,967.0,396.1,-1.497,5265,0,0,16000
3899792,687553,967.2,395.5,-1.421,5098,0,0,16000
3933189,687554,968.3,394.5,-1.387,4987,0,0,16000
3966294,687555,968.5,394.5,-1.386,5013,0,0,16000
3999634,687556,969.0,394.6,-1.326,5138,0,0,16000
4032944,687557,969.1,394.5,-1.321,5205,0,0,16000
4066313,687558,969.1,394.4,-1.313,5117,0,0,16000
4105868,687559,969.1,394.4,-1.353,5133,0,0,16000
4133886,687560,969.0,393.5,-1.214,5101,0,0,16000
4167427,687561,983.4,367.1,-1.420,3832,0,0,16000
4199548,687562,997.2,357.0,-0.543,2586,0,0,16000
4233344,687563,1007.4,358.1,-0.352,5130,0,0,16000
4267850,687564,1006.8,361.8,0.189,4663,0,0,16000
4299638,687565,1007.8,360.4,-0.291,5008,0,0,16000
4332972,687566,1010.3,359.4,-0.718,4910,0,0,16000
4366907,687567,1012.0,360.2,-0.807,4960,0,0,16000
4399683,687568,1012.6,359.9,-1.012,4913,0,0,16000
4432949,687569,1016.0,365.3,-1.190,3548,0,0,16000
4467062,687570,1021.1,367.9,-0.453,4860,0,0,16000
4500373,687571,1021.4,369.6,-0.353,4866,0,0,16000
4534278,687572,1017.8,371.1,-0.548,4971,0,0,16000
4566425,687573,1017.5,371.4,-0.534,5147,0,0,16000
4600057,687574,1017.4,371.8,-0.550,5063,0,0,16000
4633737,687575,1017.9,374.3,-1.054,4935,0,0,16000
4667034,687576,1019.0,378.4,-1.465,4609,0,0,16000
4699583,687577,1019.0,385.0,1.407,4621,0,0,16000
4734267,687578,1021.1,388.5,1.221,4638,0,0,16000
4767204,687579,1025.1,392.2,0.830,4758,0,0,16000
4801015,687580,1030.0,393.8,0.451,4844,0,0,16000
4833109,687581,1034.3,392.9,-0.125,4794,0,0,16000
4866627,687582,1035.1,390.5,-0.371,4385,0,0,16000
4901655,687583,1037.0,389.9,-0.041,4595,0,0,16000
4933005,687584,1038.2,391.8,0.599,4729,0,0,16000
4966337,687585,1039.9,394.8,0.938,4608,0,0,16000
