# -- start of yaml config --
# ---
# app:
#   name: strand-cam-pylon
#   version: 0.11.1
#   git_hash: 313a43e8b8154508d78f5b914b2fc569781a68e7
# camera:
#   vendor: Basler
#   model: Basler-22117938
#   serial: "22117938"
#   width: 1280
#   height: 1024
# created_at: "2022-05-05T15:34:50.519206191+02:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.01
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 30
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.3
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 512
#       radius: 512
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
35018,565037,488.4,250.4,0.044,4966,0,0,16000
64641,565038,479.2,242.9,-0.856,5608,0,0,16000
97046,565039,479.8,242.6,-0.802,5586,0,0,16000
130307,565040,480.4,241.8,-0.870,5483,0,0,16000
163606,565041,484.3,240.4,-0.615,5583,0,0,16000
196900,565042,488.2,238.7,-0.465,5727,0,0,16000
230359,565043,493.6,235.4,-0.494,5689,0,0,16000
263555,565044,497.7,233.3,-0.432,5751,0,0,16000
296981,565045,504.2,231.2,-0.404,5715,0,0,16000
330225,565046,508.6,229.0,-0.387,5754,0,0,16000
363598,565047,515.3,225.6,-0.452,5695,0,0,16000
396961,565048,519.5,223.4,-0.456,5699,0,0,16000
430281,565049,523.8,219.5,-0.668,5789,0,0,16000
463572,565050,524.4,213.7,-1.283,5570,0,0,16000
496908,565051,522.8,208.3,-1.495,5657,0,0,16000
530408,565052,522.8,203.7,-1.471,5515,0,0,16000
563643,565053,523.4,198.7,-1.373,5567,0,0,16000
596933,565054,525.1,194.3,-1.262,5659,0,0,16000
630238,565055,528.0,191.4,-0.902,5475,0,0,16000
663568,565056,533.8,189.7,-0.554,5736,0,0,16000
696927,565057,538.8,189.2,-0.284,5891,0,0,16000
730359,565058,543.5,187.3,-0.299,5796,0,0,16000
763707,565059,549.2,184.6,-0.426,5933,0,0,16000
797071,565060,554.4,181.6,-0.467,5920,0,0,16000
830324,565061,559.5,179.6,-0.426,5958,0,0,16000
863653,565062,564.8,178.2,-0.413,5996,0,0,16000
897687,565063,569.7,176.9,-0.332,5810,0,0,16000
930388,565064,574.8,176.2,-0.275,5805,0,0,16000
963565,565065,580.5,174.9,-0.286,5863,0,0,16000
996928,565066,586.0,174.2,-0.255,5985,0,0,16000
1030760,565067,591.8,173.4,-0.222,5928,0,0,16000
1063683,565068,597.0,172.3,-0.246,5911,0,0,16000
1096910,565069,602.0,170.3,-0.243,5797,0,0,16000
1130239,565070,607.2,169.4,-0.241,5882,0,0,16000
1168748,565071,612.4,168.2,-0.266,5956,0,0,16000
1197265,565072,617.6,167.4,-0.212,6068,0,0,16000
1231293,565073,622.5,166.2,-0.136,6015,0,0,16000
1263560,565074,627.9,165.3,-0.165,5993,0,0,16000
1296971,565075,633.7,164.1,-0.105,5936,0,0,16000
1330440,565076,639.5,163.9,-0.068,6004,0,0,16000
1363612,565077,644.7,163.6,-0.055,5927,0,0,16000
1396885,565078,650.0,164.9,0.028,6123,0,0,16000
1430234,565079,654.3,166.4,0.192,5977,0,0,16000
1464590,565080,659.8,169.7,0.397,5952,0,0,16000
1496921,565081,664.7,171.7,0.405,5964,0,0,16000
1530413,565082,668.7,174.3,0.472,6129,0,0,16000
1563914,565083,674.2,176.2,0.401,6152,0,0,16000
1597069,565084,680.6,176.9,0.226,6054,0,0,16000
1630516,565085,686.0,178.4,0.197,6118,0,0,16000
1663735,565086,691.0,179.9,0.199,6160,0,0,16000
1696994,565087,697.2,180.8,0.181,6196,0,0,16000
1730259,565088,703.1,181.4,0.183,6065,0,0,16000
1763626,565089,708.7,182.7,0.192,5983,0,0,16000
1796947,565090,714.3,183.5,0.221,6155,0,0,16000
1831011,565091,720.4,185.1,0.174,6256,0,0,16000
1863579,565092,726.2,185.7,0.149,6413,0,0,16000
1896978,565093,731.8,187.3,0.173,6264,0,0,16000
1930485,565094,737.4,188.5,0.188,6337,0,0,16000
1963889,565095,742.3,190.3,0.193,6350,0,0,16000
1996966,565096,747.0,190.7,0.204,6075,0,0,16000
2031046,565097,751.6,191.5,0.215,6231,0,0,16000
2063598,565098,757.5,191.5,0.191,6204,0,0,16000
2096887,565099,762.6,192.9,0.207,6237,0,0,16000
2130545,565100,767.9,194.3,0.210,6281,0,0,16000
2163598,565101,772.2,196.5,0.336,6302,0,0,16000
2196967,565102,776.4,198.2,0.354,6298,0,0,16000
2230231,565103,782.2,200.6,0.339,6468,0,0,16000
2263912,565104,787.3,202.4,0.310,6201,0,0,16000
2297976,565105,792.3,204.4,0.345,6374,0,0,16000
2330230,565106,797.2,205.5,0.279,6367,0,0,16000
2363580,565107,802.8,206.4,0.300,6671,0,0,16000
2397010,565108,807.9,208.1,0.244,6574,0,0,16000
2430275,565109,812.7,209.7,0.298,6475,0,0,16000
2463605,565110,817.0,211.1,0.296,6605,0,0,16000
2496892,565111,821.6,212.7,0.404,6449,0,0,16000
2530313,565112,825.7,214.9,0.419,6490,0,0,16000
2563685,565113,829.1,217.4,0.499,6425,0,0,16000
2596978,565114,833.6,219.0,0.464,6494,0,0,16000
2630256,565115,838.6,220.9,0.467,6329,0,0,16000
2663555,565116,843.4,223.3,0.485,6434,0,0,16000
2696929,565117,847.5,226.1,0.552,6285,0,0,16000
2730259,565118,851.0,229.6,0.652,6454,0,0,16000
2763578,565119,853.0,234.2,0.937,6321,0,0,16000
2797043,565120,853.6,238.1,1.114,6563,0,0,16000
2830288,565121,854.9,242.9,1.193,6516,0,0,16000
2863684,565122,856.8,247.1,1.212,6626,0,0,16000
2897009,565123,859.0,251.8,1.226,6550,0,0,16000
2930253,565124,861.2,256.2,1.201,6533,0,0,16000
2963648,565125,863.3,260.6,1.192,6423,0,0,16000
2997399,565126,865.5,265.8,1.136,6615,0,0,16000
3030262,565127,868.0,270.3,1.142,6393,0,0,16000
3063536,565128,869.9,275.0,1.180,6521,0,0,16000
3097011,565129,871.5,279.6,1.271,6274,0,0,16000
3130277,565130,871.9,282.3,1.260,6587,0,0,16000
3163542,565131,871.7,283.4,1.291,6459,0,0,16000
3197156,565132,871.5,287.0,1.354,6478,0,0,16000
3230424,565133,870.9,290.0,-1.550,6598,0,0,16000
3263535,565134,869.3,293.5,-1.346,6674,0,0,16000
