# -- start of yaml config --
# ---
# app:
#   name: strand-cam-pylon
#   version: 0.11.1
#   git_hash: 313a43e8b8154508d78f5b914b2fc569781a68e7
# camera:
#   vendor: Basler
#   model: Basler-22117938
#   serial: "22117938"
#   width: 1280
#   height: 1024
# created_at: "2022-05-05T16:10:40.560538783+02:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.01
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 30
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.3
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 512
#       radius: 512
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
33198,629539,390.0,912.8,1.467,2236,0,0,16000
66588,629540,390.8,914.2,1.359,2279,0,0,16000
100598,629541,391.3,914.1,1.206,2199,0,0,16000
133259,629542,391.1,913.9,1.246,2122,0,0,16000
166606,629543,391.3,913.3,1.123,2147,0,0,16000
199911,629544,391.4,913.3,1.054,2276,0,0,16000
233224,629545,392.5,913.4,0.888,2225,0,0,16000
266597,629546,394.6,914.9,0.732,2218,0,0,16000
299974,629547,397.8,916.3,0.509,2197,0,0,16000
333265,629548,401.6,918.0,0.483,2125,0,0,16000
366615,629549,405.5,920.1,0.460,2162,0,0,16000
399856,629550,410.0,922.2,0.521,2099,0,0,16000
433165,629551,414.3,925.2,0.522,2262,0,0,16000
466640,629552,418.2,927.8,0.596,2135,0,0,16000
499925,629553,422.3,931.0,0.625,2246,0,0,16000
533233,629554,425.7,934.4,0.733,2181,0,0,16000
566723,629555,428.5,938.3,0.893,2120,0,0,16000
599837,629556,430.2,942.5,0.966,2169,0,0,16000
633230,629557,430.3,947.1,1.326,2052,0,0,16000
666706,629558,429.3,950.5,1.494,2055,0,0,16000
699949,629559,428.5,954.2,1.534,2023,0,0,16000
733209,629560,427.5,958.1,1.534,2136,0,0,16000
766619,629561,427.5,959.2,1.535,1994,0,0,16000
799898,629562,428.2,958.0,1.184,2064,0,0,16000
833198,629563,428.6,954.5,0.351,2136,0,0,16000
866554,629564,428.9,951.1,-0.266,2133,0,0,16000
899876,629565,430.8,947.5,-0.605,2193,0,0,16000
933349,629566,433.6,941.2,-0.764,2216,0,0,16000
967015,629567,437.2,935.5,-0.874,2124,0,0,16000
1000025,629568,439.3,929.0,-0.900,2036,0,0,16000
1033311,629569,442.1,923.5,-0.909,2259,0,0,16000
1066522,629570,446.4,918.9,-0.775,2367,0,0,16000
1099870,629571,450.0,914.7,-0.727,2404,0,0,16000
1133292,629572,454.0,910.1,-0.893,2414,0,0,16000
1166774,629573,457.2,904.7,-0.904,2467,0,0,16000
1199962,629574,459.9,899.7,-0.912,2467,0,0,16000
